LEBL;LROP;ROT;ROT430R;B737;199115464;160731;2239;160731;2230;3;410
EGGW;LRIA;ROT;ROT396;B733;199115462;160731;2230;160731;2220;9;370
LEBL;LUKK;MLD;MLD898;E190;199115781;160731;2312;160731;2300;6;370
EIDW;LUKK;MLD;MLD832;A319;199115987;160731;2352;160731;2340;7;370
LIMC;LIBR;NOS;NOS786;B738;199116328;160801;0054;160801;0040;8;350
LEBL;LFMN;VLG;VLG1517;A319;199115819;160731;2322;160731;2310;6;280
ENGM;LGSR;NAX;NAX86JG;B738;199114344;160731;2050;160731;2040;9;370
ENGM;LGKR;NAX;NAX9ZB;B738;199114825;160731;2130;160731;2120;9;390
LKPR;LBBG;TVS;TVS5HK;B738;199115052;160731;2148;160731;2140;2;370
LEBL;LROP;ROT;ROT430R;B737;199147241;160801;2159;160801;2145;8;410
ENGM;LFPG;AFR;AFR275M;E190;199118641;160801;0444;160801;0435;8;360
EDDL;LFPG;AFR;AFR107X;E190;199120444;160801;0604;160801;0551;7;220
LFPG;EDDF;AFR;AFR518H;E190;199120289;160801;0551;160801;0530;14;230
LFPG;LEBB;AFR;AFR476D;E190;199123470;160801;0752;160801;0735;10;350
LFPG;LFBZ;ZZZ;AF654UA;E170;199122577;160801;0705;160801;0650;8;350
LFPG;EDDL;AFR;AFR306E;E170;199119884;160801;0536;160801;0515;14;230
LFPG;LFBP;ZZZ;AF536NO;E190;199122230;160801;0701;160801;0640;14;350
EDDF;LFPG;AFR;AFR019W;E190;199120172;160801;0543;160801;0525;14;220
LFPG;EDDV;AFR;AFR1338;E170;199121992;160801;0651;160801;0630;14;350
LFPG;LFSB;ZZZ;AF192JP;E170;199123085;160801;0720;160801;0705;8;310
LFPG;LFLC;ZZZ;AF752LK;E170;199124224;160801;0755;160801;0740;8;250
LFPG;EDDW;AFR;AFR1324;E170;199122633;160801;0711;160801;0650;14;370
EDDL;LFPG;AFR;AFR1307;E170;199123543;160801;0731;160801;0720;5;220
LFPG;EDDF;AFR;AFR618J;E190;199124748;160801;0821;160801;0800;14;230
LFPG;EGPD;AFR;AFR1272;E170;199124894;160801;0824;160801;0800;17;360
EDDF;LUKK;MLD;MLD864;E190;199123782;160801;0741;160801;0730;7;370
LFPG;EGPH;AFR;AFR686C;E190;199125263;160801;0851;160801;0830;14;360
LFPG;LFRN;ZZZ;AF676BF;E170;199124027;160801;0750;160801;0735;8;180
LFPG;LFKJ;ZZZ;AF588HG;E190;199125349;160801;0830;160801;0815;8;370
EBBR;LROP;ROT;ROT372D;B737;199125529;160801;0849;160801;0833;7;410
EDDF;LFPG;AFR;AFR1519;E190;199125602;160801;0845;160801;0825;16;220
LFPG;ENGM;AFR;AFR1774;E190;199124185;160801;0801;160801;0740;14;370
LFPG;LIMJ;AFR;AFR516B;E170;199125464;160801;0835;160801;0820;8;350
EDDF;LROP;ROT;ROT302A;A318;199127354;160801;0935;160801;0915;16;390
EDDM;LRSB;ROT;ROT316C;B733;199125622;160801;0836;160801;0825;6;350
LEBL;LROP;ROT;ROT422R;B737;199127729;160801;0943;160801;0930;7;400
LIRF;LROP;ROT;ROT404R;B737;199129034;160801;1028;160801;1010;11;390
LFPG;EDDN;AFR;AFR210J;E170;199129951;160801;1101;160801;1040;14;300
EDDF;LFPG;AFR;AFR1619;E190;199129011;160801;1040;160801;1019;17;220
LFPG;EKBI;AFR;AFR1264;E170;199129860;160801;1056;160801;1035;14;370
LFPG;LROP;ROT;ROT382J;B733;199129530;160801;1040;160801;1025;8;370
LFPG;LFSB;ZZZ;AF292JP;E170;199130424;160801;1110;160801;1055;8;310
LFPG;LFBP;ZZZ;AF534NO;E190;199129895;160801;1050;160801;1035;8;350
LFPG;EDDF;AFR;AFR1218;E190;199129812;160801;1056;160801;1035;14;230
ENGM;LFPG;AFR;AFR775R;E190;199129999;160801;1050;160801;1040;9;360
LIRF;LFBD;HOP;HOP213Z;E170;199130151;160801;1111;160801;1056;8;340
LFPG;ENGM;AFR;AFR374E;E190;199131976;160801;1236;160801;1215;14;370
LFPG;EDDL;AFR;AFR506G;E190;199130497;160801;1117;160801;1055;15;230
LIMC;LFLL;HOP;HOP4503;CRJ7;199132221;160801;1202;160801;1150;6;220
LFPG;ESGG;AFR;AFR1452;E190;199130951;160801;1123;160801;1105;11;370
LFPG;LJLJ;AFR;AFR1186;E170;199130787;160801;1115;160801;1100;8;350
LFPG;LFRN;ZZZ;AF678BF;E170;199130607;160801;1115;160801;1100;8;180
LFPG;EDDV;AFR;AFR1638;E170;199131119;160801;1136;160801;1115;14;350
EDDF;LFPG;AFR;AFR219Z;E190;199133666;160801;1305;160801;1245;16;220
LIRF;LUKK;MLD;MLD892;A321;199134950;160801;1348;160801;1330;11;370
LFPG;EGPD;AFR;AFR372E;E170;199135040;160801;1337;160801;1325;5;360
EGLL;LROP;ROT;ROT392F;A318;199135855;160801;1408;160801;1346;10;390
LKPR;LFLL;HOP;HOP413F;CRJ7;199130498;160801;1102;160801;1055;1;350
LFPG;LFBZ;ZZZ;AF656UA;E190;199136655;160801;1435;160801;1420;8;350
LEMD;EDDF;LAN;LAN704;B789;199134609;160801;1323;160801;1310;12;400
EDDL;LFPG;AFR;AFR1507;E190;199134501;160801;1321;160801;1310;5;220
LFPG;LIMJ;AFR;AFR316D;E170;199135386;160801;1350;160801;1335;8;350
LFPG;EGPH;AFR;AFR1486;E190;199135001;160801;1337;160801;1325;5;360
LFPG;EDDL;AFR;AFR1406;E190;199135607;160801;1406;160801;1345;14;230
LFPG;LEBB;AFR;AFR576L;E190;199136698;160801;1435;160801;1420;8;350
LFPG;LROP;ROT;ROT384U;A318;199136672;160801;1436;160801;1420;9;390
ENGM;LFPG;AFR;AFR1375;E190;199137328;160801;1532;160801;1523;8;360
LFPG;EDDF;AFR;AFR118B;E190;199137200;160801;1526;160801;1505;14;230
LFPG;LFLC;ZZZ;AF756LK;E170;199138508;160801;1535;160801;1520;8;250
LFPG;LFSB;ZZZ;AF392JP;E190;199137339;160801;1500;160801;1445;8;310
EDDL;LFPG;AFR;AFR407N;E190;199138966;160801;1546;160801;1535;5;220
EDDF;LFPG;AFR;AFR119R;E190;199141992;160801;1751;160801;1732;15;220
EDDF;LEMD;LAN;LAN705;B789;199142284;160801;1746;160801;1730;12;390
LFPG;ENGM;AFR;AFR1274;E190;199141827;160801;1736;160801;1715;14;370
LIRF;LFLL;HOP;HOP547J;CRJ7;199139030;160801;1551;160801;1542;2;340
ENGM;EKCH;ABR;ABR2SL;AT43;199142775;160801;1803;160801;1750;12;230
EBBR;LFRS;HOP;HOP3207;E145;199140334;160801;1638;160801;1625;4;340
LFPG;EDDW;AFR;AFR724G;E170;199142990;160801;1821;160801;1800;14;370
LFPG;EDDL;AFR;AFR1106;E190;199143738;160801;1851;160801;1830;14;230
LFPG;LFRN;ZZZ;AF638BF;E170;199144106;160801;1900;160801;1845;8;180
LIPZ;LFLL;HOP;HOP452N;CRJX;199139399;160801;1602;160801;1555;4;320
EGCC;EGSS;ABR;ABR5NA;AT72;199142480;160801;1800;160801;1740;19;150
LFPG;ESGG;AFR;AFR552C;E190;199142847;160801;1816;160801;1755;14;370
EDDF;LROP;ROT;ROT306P;B737;199140219;160801;1642;160801;1620;18;410
LFPG;EGPD;AFR;AFR472J;E170;199141396;160801;1721;160801;1700;14;360
LIRF;LFPG;ABR;ABR7CK;AT72;199145494;160801;1943;160801;1935;1;180
EIDW;EGNX;CWY;CWY2103;PA31;1500566214;160801;1836;160801;1820;11;090
LFPG;EDDV;AFR;AFR438D;E170;199143594;160801;1846;160801;1825;14;350
EDDS;LFPG;ABR;ABR5TR;AT73;199146737;160801;2058;160801;2045;8;200
LFPG;EKBI;AFR;AFR764B;E170;199144142;160801;1906;160801;1845;14;370
LFPG;EGPH;AFR;AFR1886;E190;199144195;160801;1934;160801;1910;17;360
LFPG;LIMJ;AFR;AFR1416;E170;199144304;160801;1907;160801;1850;10;350
LIPZ;LIMC;ABR;ABR6EC;AT43;199144492;160801;1913;160801;1900;10;230
EBBR;LROP;ROT;ROT374L;A310;199143293;160801;1834;160801;1820;5;390
EDDM;LROP;ROT;ROT312N;B733;199143542;160801;1834;160801;1823;6;370
LFPG;LFRB;FPO;FPO5561;B190;199148153;160801;2335;160801;2315;13;230
LFPG;LFBP;ZZZ;AF532NO;E190;199142955;160801;1815;160801;1800;8;350
LFPG;EDDN;AFR;AFR310G;E170;199143859;160801;1856;160801;1835;14;300
LFPG;LFSB;ZZZ;AF092JP;E170;199144175;160801;1900;160801;1845;8;310
LFPG;LFLC;ZZZ;AF758LK;E190;199144395;160801;1907;160801;1855;5;250
LFPG;EDDF;AFR;AFR1018;E190;199144576;160801;1921;160801;1900;14;230
EDDB;LFPG;ABR;ABR8DN;AT72;199146226;160801;2012;160801;2005;1;220
LFPG;LEBB;AFR;AFR1376;E190;199144549;160801;1915;160801;1900;8;350
LKPR;LFPG;ABR;ABR1RG;AT72;199145973;160801;2002;160801;1955;1;230
LIPZ;LUKK;MLD;MLD382;A319;199146170;160801;2021;160801;2011;7;370
LFPG;LFRN;SRR;SRR6316;B762;199116645;160801;0137;160801;0120;10;180
LIRF;LEVC;VLG;VLG6245;A320;199115219;160731;2218;160731;2202;9;390
EGKK;LEBL;VLG;VLG7821;A320;199116175;160801;0030;160801;0010;19;370
EGKK;LIMC;EZY;EZY14TU;A319;199115693;160731;2307;160731;2247;19;370
LEBL;LEIB;ORO;ORO1011;C510;199117612;160801;0403;160801;0345;12;190
EBBR;LFBD;BCS;BCS1846;B734;199117634;160801;0405;160801;0350;6;310
EDDS;LSZH;SWR;SWR117R;F100;199117646;160801;0401;160801;0350;6;130
EBBR;LFKF;AAB;AAB476;C56X;199117679;160801;0410;160801;0355;6;350
EDDS;LEVX;FFD;FFD531;C525;199117838;160801;0408;160801;0400;3;380
EDDM;LGAV;SRR;SRR6118;B762;199117883;160801;0401;160801;0350;6;390
EGCC;EGBB;ZZZ;BE031P;AT72;199118000;160801;0425;160801;0405;19;110
LEBL;LBSF;WZZ;WZZ68B;A320;199114965;160731;2137;160731;2120;11;360
EDDS;LTFJ;GWI;GWI2302;A319;199114452;160731;2139;160731;2130;4;390
EDDS;LRCK;FAL;FALCN49;LJ35;199117586;160801;0358;160801;0344;9;370
EDDM;LSZB;BMR;BMR711E;E145;199118323;160801;0436;160801;0425;6;280
EGKK;LEIB;EZY;EZY47XD;A320;199115579;160731;2254;160731;2234;19;350
EDDM;EGHI;BMR;BMR76AD;E135;199118518;160801;0441;160801;0430;6;360
LSZH;EGLC;SWR;SWR49C;E190;199118811;160801;0520;160801;0510;2;360
EDDM;EHRD;BMR;BMR701V;E145;199123483;160801;0742;160801;0730;7;360
LSZH;ENGM;SWR;SWR127Y;E190;199119027;160801;0500;160801;0450;2;380
LIPZ;LEBL;VLG;VLG6407;A320;199115831;160731;2311;160731;2300;8;350
LEBL;LEIB;VLG;VLG35QL;A320;199115814;160731;2314;160731;2304;4;190
LSZH;EKCH;SWR;SWR126T;E190;199119770;160801;0525;160801;0510;7;400
LSZH;EGLL;SWR;SWR31J;E190;199120080;160801;0538;160801;0520;10;380
EBBR;EGNX;BMR;BMR1234;E135;199119677;160801;0525;160801;0510;6;280
EGKK;EIDW;EIN;EIN24K;A320;199115847;160731;2335;160731;2315;19;320
LSZH;EGBB;SWR;SWR42R;F100;199119932;160801;0525;160801;0515;2;340
ENGM;ENVA;HAX;HAX3134;C208;199120073;160801;0533;160801;0520;12;130
EIDW;EGNM;STK;STK9L;AT76;199119880;160801;0533;160801;0515;13;190
EFHK;LEMG;IBK;IBK514;B738;199117298;160801;0320;160801;0310;7;350
LSZH;LIRN;SWR;SWR1710;F100;199120470;160801;0545;160801;0535;2;350
LSZH;LIPZ;SWR;SWR183B;F100;199120507;160801;0550;160801;0540;2;290
LIMC;LFBT;LAV;LAV7883;B734;199123555;160801;0733;160801;0720;7;290
LIRF;LIMC;ETH;ETH702;B788;199118963;160801;0500;160801;0443;10;340
LFPG;EBBR;ETH;ETH704;B788;199120310;160801;0529;160801;0515;7;170
LEBL;EHAM;TRA;TRA43A;B738;199114926;160731;2146;160731;2130;10;380
EGLL;LCLK;AEE;AEE773;A320;199113179;160731;2005;160731;1945;8;370
EDDM;LSZH;DLH;DLH4TR;E190;199120848;160801;0600;160801;0550;5;240
LSZH;LFLX;SWR;SWR5570;B77W;199122098;160801;0644;160801;0630;6;180
EDDS;EDVE;WGT;WGT55D;FA7X;199121118;160801;0608;160801;0600;3;260
EDDM;LIEO;DBL;DBLTA;F2TH;199121167;160801;0610;160801;0600;5;390
EDDS;EDDB;HBJ;HBJGT;CL60;199121290;160801;0608;160801;0600;3;290
EIDW;EGGP;STK;STK92PL;AT76;199121125;160801;0626;160801;0600;21;170
EIDW;EGPF;STK;STK2GL;AT76;199120813;160801;0616;160801;0550;21;150
