EFHK;LEMG;IBK;IBK5123;B738;202004120;161031;1946;161031;1936;7;350
ENGM;ENEV;SWN;SWN492;CRJ2;202006579;161031;2253;161031;2240;9;350
ENGM;ENVA;SWN;SWN72T;ATP;202006621;161031;2254;161031;2245;5;150
ENGM;ENBO;SWN;SWN82B;ATP;202006636;161031;2254;161031;2245;5;210
EBBR;EGNX;BCS;BCS371;B734;202006929;161101;0005;161031;2345;14;300
LIPZ;LFPG;VLG;VLG8431;A320;202006285;161031;2239;161031;2232;1;380
EDDB;LFPG;ABR;ABR8DN;AT72;202031502;161101;2112;161101;2105;2;220
LKPR;LFPG;ABR;ABR1RG;AT72;202031379;161101;2102;161101;2055;1;230
EDDS;LFPG;ABR;ABR5TR;AT73;202031756;161101;2203;161101;2150;7;200
LFPG;EDDF;ABR;ABR6TR;AT73;202007598;161101;0238;161101;0232;1;190
LFPG;EPWA;ABR;ABR1WA;AT72;202007647;161101;0253;161101;0245;3;210
LFPG;LKPR;ABR;ABR2RG;AT72;202007588;161101;0250;161101;0235;10;230
LFPG;EINN;ABR;ABR7BN;AT43;202007589;161101;0259;161101;0227;27;180
LFPG;EGNT;ABR;ABR2CL;AT43;202007806;161101;0343;161101;0332;6;180
EDDF;EDDS;ABR;ABR6TR;AT73;202008934;161101;0515;161101;0509;0;210
LFPG;EPKT;ABR;ABR3KT;AT72;202007604;161101;0246;161101;0240;1;210
ENGM;LFPG;AFR;AFR275L;E170;202008590;161101;0521;161101;0510;7;360
LFPG;EDDB;ABR;ABR9DN;AT72;202007679;161101;0315;161101;0304;6;230
LFPG;EDDF;AFR;AFR518K;E190;202010617;161101;0640;161101;0635;0;230
LFPG;EDDL;AFR;AFR306L;E190;202010425;161101;0659;161101;0633;21;230
EDDF;LFPG;AFR;AFR1019;E190;202010290;161101;0643;161101;0625;12;220
LFPG;EDDH;ABR;ABR7ZX;AT43;202007729;161101;0324;161101;0313;6;220
ENGM;ENOL;NFA;NFA991;SW4;202010939;161101;0706;161101;0655;7;180
LFPG;EDDW;AFR;AFR324H;E170;202011633;161101;0751;161101;0725;21;370
LFPG;EDDN;AFR;AFR1010;E170;202011877;161101;0801;161101;0735;21;300
LFPG;LFBZ;ZZZ;AF654MJ;E170;202012020;161101;0800;161101;0740;15;350
LFPG;LEBB;AFR;AFR476B;E190;202012063;161101;0804;161101;0745;14;350
LFPG;LFLC;ZZZ;AF752AS;E170;202013211;161101;0849;161101;0830;14;250
EDDS;LFPG;AFR;AFR609H;E170;202009062;161101;0554;161101;0535;13;240
LFPG;EGPD;AFR;AFR272N;E170;202013450;161101;0906;161101;0840;21;360
LFPG;LFRN;ZZZ;AF676XR;E170;202013073;161101;0844;161101;0825;14;180
LFPG;EDDF;AFR;AFR618X;E190;202014064;161101;0926;161101;0900;21;230
EDDL;LFRS;HOP;HOP300G;E145;202014654;161101;0934;161101;0925;4;340
LFPG;EDDV;AFR;AFR338R;E170;202011805;161101;0756;161101;0730;21;350
LFPG;ENGM;AFR;AFR1774;E190;202012331;161101;0821;161101;0755;21;370
LFPG;LIMJ;AFR;AFR516E;E170;202013986;161101;0919;161101;0900;14;350
EBBR;LUKK;MLD;MLD802;E190;202012667;161101;0818;161101;0805;7;370
EDDS;LFPG;AFR;AFR409X;E190;202016171;161101;1036;161101;1025;5;240
EDDL;LFPG;AFR;AFR307U;E190;202012974;161101;0831;161101;0820;6;240
EDDF;LROP;ROT;ROT302A;B737;202015995;161101;1036;161101;1015;15;410
LFPG;LFSB;ZZZ;AF192YO;E170;202013034;161101;0839;161101;0820;14;310
LFPG;EDDS;AFR;AFR408V;E190;202013270;161101;0849;161101;0830;14;250
EDDF;LFPG;AFR;AFR1519;E190;202014689;161101;0945;161101;0925;14;220
LFPG;EGPH;AFR;AFR686L;E190;202013765;161101;0916;161101;0850;21;360
LIMC;LFRS;HOP;HOP3013;CRJ7;202017335;161101;1112;161101;1100;6;360
EDDM;LRSB;ROT;ROT316C;A318;202014653;161101;0936;161101;0925;6;390
ENGM;LFPG;AFR;AFR775M;E190;202016856;161101;1106;161101;1055;7;360
LEMD;LROP;ROT;ROT416N;B733;202017940;161101;1159;161101;1135;16;350
EDDF;LFPG;AFR;AFR619V;E190;202017290;161101;1131;161101;1110;15;220
LFPG;EKBI;AFR;AFR1264;E170;202017953;161101;1201;161101;1135;21;370
LFPG;EDDF;AFR;AFR218B;E190;202017524;161101;1146;161101;1120;21;230
LFPG;LJLJ;AFR;AFR186J;E170;202018408;161101;1214;161101;1155;14;350
LFPG;ESGG;AFR;AFR1452;E190;202018569;161101;1226;161101;1200;21;370
LFPG;LFRN;ZZZ;AF678BW;E170;202018588;161101;1219;161101;1200;14;180
LFPG;LFSB;ZZZ;AF292TY;E170;202018261;161101;1209;161101;1150;14;310
LKPR;LFLL;HOP;HOP413F;CRJX;202018388;161101;1202;161101;1155;1;350
LFPG;LROP;ROT;ROT382J;B733;202017657;161101;1143;161101;1125;13;370
LFPG;EDDS;AFR;AFR1508;E170;202018647;161101;1219;161101;1200;14;250
LFPG;LFBP;ZZZ;AF534ME;E190;202019068;161101;1239;161101;1220;14;350
LIRF;LFBD;HOP;HOP213Z;E170;202018738;161101;1219;161101;1204;8;340
LFPG;ENGM;AFR;AFR374Q;E190;202019508;161101;1301;161101;1235;21;370
LFPG;EDDN;AFR;AFR210Q;E170;202018327;161101;1216;161101;1150;21;300
